pollutant,country,month_day,value_numeric_mean,value_datetime_begin,day
PM10,Austria,520.0,17.922797312796146,2023-05-20 21:00:00,
PM10,Austria,520.0,17.922797312796146,2023-05-20 20:00:00,
PM10,Austria,520.0,17.922797312796146,2023-05-20 18:00:00,
PM10,Austria,520.0,17.922797312796146,2023-05-20 17:00:00,
O3,Austria,520.0,81.77575601926164,2023-05-20 19:00:00,
O3,Austria,520.0,81.77575601926164,2023-05-20 22:00:00,
O3,Austria,520.0,81.77575601926164,2023-05-20 21:00:00,
O3,Austria,520.0,81.77575601926164,2023-05-20 20:00:00,
O3,Austria,520.0,81.77575601926164,2023-05-20 18:00:00,
O3,Austria,520.0,81.77575601926164,2023-05-20 17:00:00,
PM10,Denmark,520.0,14.594444444444443,2023-05-20 22:00:00,
PM10,Denmark,520.0,14.594444444444443,2023-05-20 21:00:00,
PM10,Denmark,520.0,14.594444444444443,2023-05-20 20:00:00,
CO,Austria,520.0,0.225197500647482,2023-05-20 19:00:00,
CO,Austria,520.0,0.225197500647482,2023-05-20 18:00:00,
CO,Austria,520.0,0.225197500647482,2023-05-20 22:00:00,
CO,Austria,520.0,0.225197500647482,2023-05-20 21:00:00,
SO2,Bosnia and Herzegovina,520.0,23.64137732394366,2023-05-20 21:00:00,
SO2,Bosnia and Herzegovina,520.0,23.64137732394366,2023-05-20 22:00:00,
SO2,Sweden,520.0,1.797618333333333,2023-05-20 22:00:00,
SO2,Sweden,520.0,1.797618333333333,2023-05-20 21:00:00,
SO2,Belgium,520.0,2.125892857142857,2023-05-20 18:00:00,
SO2,Belgium,520.0,2.125892857142857,2023-05-20 17:00:00,
PM10,Bosnia and Herzegovina,520.0,25.497079591836734,2023-05-20 22:00:00,
PM10,Bosnia and Herzegovina,520.0,25.497079591836734,2023-05-20 21:00:00,
PM10,Bosnia and Herzegovina,520.0,25.497079591836734,2023-05-20 20:00:00,
PM10,Bosnia and Herzegovina,520.0,25.497079591836734,2023-05-20 19:00:00,
PM10,Bosnia and Herzegovina,520.0,25.497079591836734,2023-05-20 18:00:00,
PM10,Bosnia and Herzegovina,520.0,25.497079591836734,2023-05-20 17:00:00,
O3,Bosnia and Herzegovina,520.0,66.46598542553191,2023-05-20 22:00:00,
O3,Bosnia and Herzegovina,520.0,66.46598542553191,2023-05-20 21:00:00,
O3,Bosnia and Herzegovina,520.0,66.46598542553191,2023-05-20 20:00:00,
O3,Bosnia and Herzegovina,520.0,66.46598542553191,2023-05-20 19:00:00,
O3,Bosnia and Herzegovina,520.0,66.46598542553191,2023-05-20 18:00:00,
O3,Bosnia and Herzegovina,520.0,66.46598542553191,2023-05-20 17:00:00,
O3,Bulgaria,520.0,61.61611111111111,2023-05-20 19:00:00,
PM10,Finland,520.0,12.943096011969695,2023-05-20 17:00:00,
PM10,Finland,520.0,12.943096011969695,2023-05-20 19:00:00,
PM10,Finland,520.0,12.943096011969695,2023-05-20 20:00:00,
PM10,Finland,520.0,12.943096011969695,2023-05-20 21:00:00,
PM10,Finland,520.0,12.943096011969695,2023-05-20 22:00:00,
SO2,Sweden,520.0,1.797618333333333,2023-05-20 17:00:00,
CO,Bosnia and Herzegovina,520.0,416.9231471428571,2023-05-20 22:00:00,
CO,Bosnia and Herzegovina,520.0,416.9231471428571,2023-05-20 21:00:00,
CO,Bosnia and Herzegovina,520.0,416.9231471428571,2023-05-20 20:00:00,
CO,Bosnia and Herzegovina,520.0,416.9231471428571,2023-05-20 19:00:00,
CO,Bosnia and Herzegovina,520.0,416.9231471428571,2023-05-20 18:00:00,
CO,Bosnia and Herzegovina,520.0,416.9231471428571,2023-05-20 17:00:00,
SO2,Sweden,520.0,1.797618333333333,2023-05-20 18:00:00,
SO2,Sweden,520.0,1.797618333333333,2023-05-20 19:00:00,
SO2,Sweden,520.0,1.797618333333333,2023-05-20 20:00:00,
PM10,Finland,520.0,12.943096011969695,2023-05-20 18:00:00,
O3,Bulgaria,520.0,61.61611111111111,2023-05-20 20:00:00,
O3,Bulgaria,520.0,61.61611111111111,2023-05-20 21:00:00,
O3,Bulgaria,520.0,61.61611111111111,2023-05-20 22:00:00,
O3,Estonia,520.0,58.59421647058824,2023-05-20 17:00:00,
O3,Estonia,520.0,58.59421647058824,2023-05-20 18:00:00,
O3,Estonia,520.0,58.59421647058824,2023-05-20 19:00:00,
O3,Estonia,520.0,58.59421647058824,2023-05-20 20:00:00,
